map_name,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_match_time,AVG_match_time
"신화 차원의 관문",88,512,59,11.5234,23452803,139600.01785714287
"포레스트 아찔한 다운힐",88,568,178,31.3380,24553507,159438.35714285713
"빌리지 만리장성",87,625,219,35.0400,25214908,140865.40782122905
"[R] 차이나 골목길 대질주",87,909,761,83.7184,31123333,168234.23243243244
"붐힐 드라이브",86,757,596,78.7318,50008402,274771.43956043955
"차이나 용의 운하",80,549,175,31.8761,23892912,151220.96202531646
"대저택 럭셔리 거대욕조",80,570,374,65.6140,15351492,96550.2641509434
"메카닉 적의 포화속으로",79,132,14,10.6061,8657469,90181.96875
"공동묘지 유령습격",75,179,7,3.9106,8037135,83720.15625
"황금문명 고디우스의 분노",74,136,3,2.2059,9462290,79515.04201680672
"쥐라기 공룡섬 대모험",73,469,321,68.4435,16407382,147814.25225225225
"포레스트 통나무",71,740,389,52.5676,20908748,115517.94475138122
"코리아 인천 센트럴파크",67,202,29,14.3564,12144453,120242.10891089108
"코리아 전주 한옥마을",63,271,49,18.0812,13681686,129072.50943396226
"노르테유 행성 저 멀리",63,154,70,45.4545,6108190,84835.97222222222
"빌리지 시계탑",63,697,364,52.2238,17781184,128849.15942028986
"잊혀진 모래의 기억",63,814,593,72.8501,29214508,197395.32432432432
"카멜롯 전차 추격전",61,620,306,49.3548,13061903,85933.57236842105
"사막 피라미드 탐험",60,398,311,78.1407,11077693,110776.93
"[R] 어비스 숨겨진 바닷길",60,479,262,54.6973,23392293,285271.8658536585
"신화 오딘의 궁전",59,484,156,32.2314,16143666,136810.7288135593
"빌리지 손가락 2",58,311,74,23.7942,18611406,175579.30188679244
"[reverse] 빌리지 시계탑 운하",58,811,653,80.5179,17363694,188735.80434782608
"브로디 에너지의 원천",58,112,7,6.2500,8071770,109077.97297297297
"절망의 카타콤",57,531,226,42.5612,33158596,301441.7818181818
"WKC 브라질 서킷",54,365,154,42.1918,12885881,138557.86021505378
"올림포스 선택의 문",53,88,12,13.6364,4516099,75268.31666666667
"광산의 지배자",52,425,207,48.7059,33607967,373421.85555555555
"포레스트 통곡의 절벽",52,584,263,45.0342,22691825,184486.38211382114
"어비스 숨겨진 바닷길",50,623,521,83.6276,20380802,188711.12962962964
"[reverse] 사막 빙글빙글 공사장",49,643,788,122.5505,20080212,198813.9801980198
NULL,48,NULL,NULL,NULL,NULL,NULL
"네모 메디아 은신처",47,113,32,28.3186,4474754,84429.32075471699
"브로디 거대한 에너지 생산기",47,83,4,4.8193,4285876,77925.01818181819
"광산 아슬아슬 궤도 전차",47,342,142,41.5205,10938425,133395.42682926828
"아이스 투명동굴",46,277,248,89.5307,8367527,102043.01219512195
"[reverse] 포레스트 지그재그",45,436,123,28.2110,20363540,180208.3185840708
"월드 파리 드라이브",45,199,41,20.6030,8668322,115577.62666666666
"마비노기 바올 던전",43,478,488,102.0921,12617214,124922.91089108911
"대해적 로두마니",42,478,720,150.6276,23651700,307164.93506493507
"마비노기 던바튼",42,172,19,11.0465,6407112,92856.69565217392
