track_id,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_record,AVG_record
8d50ed8ae32a4ce260dd7d8303552f72f3e80f15d8bf4192aa4ffe784c81ca12,1039,17778,6998,39.3633,371755188,124708.21469305603
b7cb8cf6cfe163b27b7cde2a66de24394bb51afc5102d0c04dbd39eab9bba05b,1030,1954,369,18.8843,96160664,75717.05826771654
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,978,15833,5327,33.6449,231017785,81950.26073075559
37bd0201fe0a4e42a9d81aefd822293212b949d98a3e5b72089473b47310cf55,931,17109,9299,54.3515,315850928,120232.55728968405
354aa746522dd2aa92b2f61dec2be4bcd215e13a1c522b47ff7ae31164bbfafc,894,14771,7801,52.8129,327059407,145489.0600533808
12170098c74c9d6d7db9abb0d5e0cde38c685b5c171f1d4f5b369abe2b22d61e,852,14073,8563,60.8470,301792882,143369.54014251783
577a231fed4029f30269a0bbb648f0bff8abfe94e88258db8ce33ad4ad8504fe,828,14534,5217,35.8951,290386616,115876.54269752593
aa3e9464fb5ec94b5daee8b6848c18d3ae9f441422f99f738fb0271c8a835bf6,825,19948,11755,58.9282,90770424,55246.758368837494
5865397bd41471250d1db58583decbfe5a703d6a59facaeae229c527b58b832b,821,15442,4222,27.3410,272210324,101571.01641791045
7b64acf01df51b2bf6311792c83dad29b5aeb257e5188659b073c8f48eea6722,816,6533,3359,51.4159,202436477,122023.19288728149
40cf59a454ab971e82a900b0746b9a62fa21322789f6357b03c2edbe2961b080,796,14644,6741,46.0325,222638835,103408.65536460752
0277723f47a20a3089c02beed0c6c41b0e904bc17766efbba565b8c64e608179,793,12917,5707,44.1821,182159263,86413.31261859582
4cd670f582e1fc5db858df3c43a51adcd645053ad3c2ea2c49120e58f61f17e3,722,14779,5935,40.1583,337601307,148265.83530961792
5873d5fe128549b597e984c87881e7d0ab632e381073164fe513e902f48a3ccd,722,14597,7386,50.5994,276906800,130863.3270321361
95fbb45f299b72e7e5d1f013e56d528dd5b67fae6a57a1b8ca3b2eec7ba84bfc,719,5739,2349,40.9305,182189832,126784.85177453027
243ccbc7e0f66415976bd36d3718821c2af1440d16e923dca6be7a0b4bc1c02c,700,14469,6742,46.5962,195689220,92349.79707409155
f33646e9f30c6f7bf26dccd3fa2a5a7e3c5d90c405645142a35523f86290077e,697,6956,3428,49.2812,230137837,150515.2629169392
3c03b354c083aa8311b62221f535b6228f935e9b3a9352b0f2c1c71ac7833544,677,6658,3024,45.4190,149970697,99913.85542971353
37af020d27f898e4fa9db2c96ff97fefff8491f49b08bdc68e71c35e43d53b7b,661,14803,8051,54.3876,170986092,82842.0988372093
defe560d53c3def551cc91a61443ac19709c0e58d102c1167c54a3f304422c6b,647,15169,8546,56.3386,215596458,105892.1699410609
c93843288b6c038f11328c0e4a4dae0663a94154242059e1a62f73503e84b104,618,5446,2266,41.6085,142836143,107314.90833959429
751e252308abbced14f6a5efcfb555c28776e6009ca3c622eba35788e70a3bab,614,5617,1797,31.9922,157849105,120311.81783536586
ef680fe215b564c5a1a78877dc76afc367d3d795290da240644900eba24c6fb9,614,5859,1964,33.5211,177839446,134624.86449659348
0b809bd33246fac5d3b39ba8d2e274999647174e43ec4645865d4dc349b08290,572,12590,5069,40.2621,290360797,158667.10218579235
1c5787c05fa0a0e04f2aff585f471681dfa0f35c9fd404d97ae6f87f6a4831d6,517,5694,2536,44.5381,139797212,117279.54026845637
6b4df446275a17345901a06f1e89ae7e2269c81b63d548043446c8cfea35312e,509,5031,1877,37.3087,110746588,92674.9690376569
1f58aaa5dbc7ad73a2ee87a280407194b2a9312ad893d763d1dfb75e75e98bf6,505,4271,1281,29.9930,94274833,89444.81309297912
063bb12532648af822545b74a44ae0b2149561f9d2aa0110e0fd518b551d1f7a,498,4601,1757,38.1874,99554565,94543.74643874644
8a9b71d9a9a3d56c3ccfbc7ae9319ae64c373e4a70e9a704adf58ef5eb1d7c30,491,3799,1706,44.9066,145690742,155985.8051391863
07a32fade9a89ff19701f25a533fb3fdb475f35051f18626b4b380b439bd2c20,458,911,163,17.8924,47202602,84140.11051693404
35bcf80c3a600ddfb38108b3973a2e1a9da2ecec0b55356b306b0902bda051ce,428,659,36,5.4628,37211762,72537.5477582846
519461f08096c7cc64734db42d0c5a7f60e9bd49ac204054ae88cd100426fc7a,408,4600,2318,50.3913,80849696,84218.43333333333
cef91d19aece7571a2e667fe0240f92a010af6c5a6cd68e11a166d69124ee432,392,2461,958,38.9273,107969208,156250.66280752534
c7b28e6fd036b7402a783cfe17ded73c190cbe76deefcf12cacbcf4b4ac62bc2,359,3770,1756,46.5782,62946200,91892.26277372263
5f81a79868eeaaf98cdd18b73608f133796daa093a4e6b9ffd212e17d571c911,333,3839,2447,63.7406,4380989611,6034420.951790634
