trackId,matchId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,teamId,date
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,2064295736,영햬,4671e909b560c426d32bc83e28c1871a01ca4dd73c7e21289834876926dd67d0,751a4dd7b0e66ba60c3feb72191980bfed2eac7068930521c59171a514fff837,,,db00206a829ee2952d0547c57091627c38727dc96a2bb0bd9782d075624b299d,,,,,4,1,0,1.0,59238.0,2,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,453338395,탐라카우맨,a6d90f9fc4e59a429af4d128b4ad1715ec6860e25c66e600ce0d910faecec786,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,6,0,1.0,63174.0,2,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,436836913,384580087,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,f84b6fdf1a1e377b0be61a809fbdce8f6dac12ba087e78125f72334634b10a7e,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,5,5,0,0.0,63001.0,1,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,168147495,정사하다,a0b4b780c91fbdd602a468d67f19a03872caba23190ad68e0c18cff1e7ce8c8b,9c07649e2950c0b47427267b6887c294a87e66fb2f9798f6ec95b57cbbb4939d,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,7,0,0.0,65596.0,1,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,604335803,OptimusRider,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,5,3,0,0.0,61194.0,1,2022-10-08
b57588a6c4fd89fbc2a2c9e9c1a95a746c35ab3ee08e3935db1a427121853e9a,03d70011024feb11,520404757,수봉이1004,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,940288da1bf162d741edf359a3b842fd6456dddfdd6eeffd929dabc1ddfec2e4,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,8,0,0.0,66321.0,1,2022-10-08
73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,03420011024fea84,1745158003,즁한,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,751a4dd7b0e66ba60c3feb72191980bfed2eac7068930521c59171a514fff837,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,2,0,1.0,82558.0,2,2022-10-08
73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,03420011024fea84,1158042825,MHJ1234,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,7e9abaeae122dfff2d0b29af8b7e5a673003ab480f6d2623b1a1d82ff25e5ef1,,e7d38a7263661c8d331f593a8b8c4d15546e896c8f92001e4cfd8cc8ab82bc7a,8819a1329cd3cee9a3d802c4d0402ae83a0cbee92a027bf65eaed5b925e02002,,,,,3,5,0,1.0,87901.0,2,2022-10-08
73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,03420011024fea84,1493266396,거친세퍼트,2ce4fd9f8a95f35afb484d247a74ff2edd16b1d60875bd86a05a86ae6cd664fd,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,,7a7c82225a7e19701d446f6bd2a3028235c158a8b3c0d9bd0b61b7ec53bb8a1c,,,,,3,6,0,1.0,88020.0,2,2022-10-08
73103a17062d7007e64739fefc2aee4ba0d98baa53c1f9b7bd5320202b0eff75,03420011024fea84,940333324,하야브라카,e8cf6bfc4ec4a3c216a00c324206cae99493220972be0efda4d0c94107436367,f84b6fdf1a1e377b0be61a809fbdce8f6dac12ba087e78125f72334634b10a7e,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,1,0,1.0,82530.0,2,2022-10-08
