trackId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,matchId,date
bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1141706144,chaeyoung06,d3aad4bafb446d33576c393da5e73f59aca160be04131391ecc3fe7fdb89ebbf,d1bb276d82e79398a211df10113f27b24678178b9176cf825d39429d45d4c36b,,65f03686b547eba05f2c761330f6534c953c57e6a0c57f02c85945ae1664d41d,134d30c43f10b461d98952da5555520a29bc1084ae41c496840468c3c077a064,,,,,0,99,1,0.0,,00210006024bf9aa,2022-10-08
bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1829448778,∂Ï¡ˆ∑’¿Ã,2960830584fbc95f68bf9b4b772891cff8ce6e37149f6cba51698641b14c5336,1d4423326e3d0e8b12d5d01ede67c076b5cc753e43d4b374b27c1313da685b6d,,73da5e8f7b9be8f96000573a6a9506643bdadfdad029fce1e0d030de52abc4ab,d2fa89a4641428a68b8ffefecf89469969cbdcf9cdb6057f8b1d112c826de0b7,,,,,2,2,0,0.0,106709.0,00210006024bf9aa,2022-10-08
bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1443726540,øÕøÏ∫Œµ,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,7c44359b099b417f44ab84e1614458967001f6056e7d3b80c7cd3407e8fdd0a2,,,,0.0,0.0,0.0,0.0,1,1,0,1.0,105293.0,00210006024bf9aa,2022-10-08
fdbe9025514e73fe3e4f991d804ede46d2deacfcf8aef2d055a12dd63d225d0d,402816199,∏µŒ¥Ÿ∞°∞Ì,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,af2552c4038a66fc6903b6414700576826bdc7c2bcd246b8bcc38644ed7f2df8,,e98d90cc5356f37b31faa57471fac57854a950fd8fafa51082d7fb3338f2526e,,,,,,0,3,0,0.0,126781.0,01ca0009025f5098,2022-10-08
fdbe9025514e73fe3e4f991d804ede46d2deacfcf8aef2d055a12dd63d225d0d,1560898592,æÁµÈ¿«llƒßπ¨,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,a0f8e8f6331f473014d21e5b8596cc179db98102fe92dbe44e443a543c72fd27,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,0ba76db19374fe129bea077d5f72b9db5e5763afef4432a4249d4288cf42ab43,0.0,0.0,0.0,0.0,2,1,0,1.0,120052.0,01ca0009025f5098,2022-10-08
fdbe9025514e73fe3e4f991d804ede46d2deacfcf8aef2d055a12dd63d225d0d,1694743822,≈©∑π¬°±Ë,041195c896c373b7764e7786fab3006d897fa7326a90fce1d5299e8b78d9b672,f1a46f412c3340559f02a57bf4cd0483834bcf06eca968782a0d41db823e6467,,f9ee47123567eeb0be5331f24948e32c960afac9ca1751fc2a66dbf67e3c0d78,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,0,2,0,0.0,124953.0,01ca0009025f5098,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,570427792,¿¸¡¯¥ﬁ∑·,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,fb07df4aa71829d0e8394fef195e756c78fe7b56d39c7fcc5dcede87c330de05,,,,5.0,1.0,22.0,8.0,4,2,0,0.0,104359.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,1325838739,√›≈∑∏¿√›≈∑,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,ac5f4658c4d86021d7989ccc08617edef9a94f1119addb11761ffd11fe55bfd1,,,,23.0,1.0,22.0,2.0,0,7,0,0.0,105877.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,67385266,AceRicky,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,fb07df4aa71829d0e8394fef195e756c78fe7b56d39c7fcc5dcede87c330de05,,,,5.0,3.0,22.0,8.0,4,8,0,0.0,106073.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,1527126094,æÛ±º»¸«’¿Ã≥◊,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,fb07df4aa71829d0e8394fef195e756c78fe7b56d39c7fcc5dcede87c330de05,,,,5.0,1.0,22.0,8.0,1,3,0,0.0,104488.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,1258491622,≥Ÿ¿◊,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,fb07df4aa71829d0e8394fef195e756c78fe7b56d39c7fcc5dcede87c330de05,,,,5.0,1.0,22.0,8.0,0,1,0,1.0,104346.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,184741546,∏Æ≈∞ªÁ≈∫,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,ac5f4658c4d86021d7989ccc08617edef9a94f1119addb11761ffd11fe55bfd1,,,,5.0,1.0,22.0,8.0,4,5,0,0.0,104890.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,1157898789,»≤º“±¿∫¨¿Ã,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,fb07df4aa71829d0e8394fef195e756c78fe7b56d39c7fcc5dcede87c330de05,,,c8f4efe77a8d14a5183050926ae0a7aaf6cabe6a1918716cbaf96763095197df,22.0,3.0,22.0,8.0,0,4,0,0.0,104697.0,010e0009025f41b3,2022-10-08
0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,788703148,∑Í¥ı»˜»˜,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,ac5f4658c4d86021d7989ccc08617edef9a94f1119addb11761ffd11fe55bfd1,,,,5.0,1.0,22.0,8.0,2,6,0,0.0,105017.0,010e0009025f41b3,2022-10-08
c7b28e6fd036b7402a783cfe17ded73c190cbe76deefcf12cacbcf4b4ac62bc2,1661776765,geunhui,d3aad4bafb446d33576c393da5e73f59aca160be04131391ecc3fe7fdb89ebbf,1dce21931147471608aa7cb45f252aeea69608fab139d01d67dfdaa6263e7799,,,134d30c43f10b461d98952da5555520a29bc1084ae41c496840468c3c077a064,0.0,0.0,0.0,0.0,0,99,1,0.0,,00f00006024bbf32,2022-10-08
c7b28e6fd036b7402a783cfe17ded73c190cbe76deefcf12cacbcf4b4ac62bc2,1275697059,ceoper79,e69867b76a1537d6a7418ae087aad4925a7e67c74fb9df2fc98525b8dfc3a7ae,07c7e8427a32892762d2420cfccc336230d35c26317b052603fb922d293041c2,,3eb3b288201405ddae2ef63e351417b547290cb47ca053dacee570aeab232013,bec48ce3b7188bb5b38f4876eb762a2a4ac09c5f7baea3eb6dc511117a63ea83,,,,,0,7,0,0.0,110594.0,00f00006024bbf32,2022-10-08
bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1157878324,º∫«ˆ¡¯µ¡ˆ¥œ,27eeb6160f01bde8a8deddac8ee0607b54b89b18b6c6ab3917d3b677f7b0a066,106e3181ec947a0488e02952f7af0e97280b1da19715ba378dee3dddb43ac992,,fdc7c55113d737db85501abb962b151496dbd1351df310edc04a02159bb60cbc,134d30c43f10b461d98952da5555520a29bc1084ae41c496840468c3c077a064,,,,,0,2,0,0.0,112324.0,01ea0009025f3b0c,2022-10-08
bc4cc07b793a1734626a114d9e9527255d2a0dc56cfe0f00778af6b2481b5214,1007352233,∆˜«™±√∫Œ∑Á¥´,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,,,,,,,,,0,1,0,1.0,110908.0,01ea0009025f3b0c,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,67860551,ƒ⁄∏‰πÍµÂ,69b369febaad1b522fd3d9af71fd223b14282057c58cffcf8a5e004bf878691e,7e9af2569848299f8aae60f4cfdeb21df32daa1f26aef4e3001b21deb4d54dde,,e98d90cc5356f37b31faa57471fac57854a950fd8fafa51082d7fb3338f2526e,52960349bbbaed8cfe9999fc285824180ef1a423ed0c6b481cd1367c913e1ba9,0.0,0.0,0.0,0.0,2,4,0,0.0,116582.0,04090009025f3475,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,2080571607,DJHIMOORA,69b369febaad1b522fd3d9af71fd223b14282057c58cffcf8a5e004bf878691e,6e0bdbfbaf920a569357ef8eee704b678ced1b6015f428417e79b26ae51f658e,,22bb0a13fa8bfe83c88087dddceaf662807f6f5660fc4460d2cb9e033f075270,db00206a829ee2952d0547c57091627c38727dc96a2bb0bd9782d075624b299d,,,,,2,4,0,0.0,116582.0,04090009025f3475,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,537780166,ºˆ¡‡¥œ,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,f1a46f412c3340559f02a57bf4cd0483834bcf06eca968782a0d41db823e6467,,e98d90cc5356f37b31faa57471fac57854a950fd8fafa51082d7fb3338f2526e,,,,,,0,99,1,0.0,,04090009025f3475,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,822752310,øπª€yunjin,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,20589a6ede95e10ad0ad9bcee2b4a442efaea851e3d44912bcd94d2ce76cfc13,,fab5343f3d67227ec4f123d74a17dc2dc34d512165102523bcc62599f1c5b003,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,0.0,0.0,0.0,0.0,2,99,1,0.0,,04090009025f3475,2022-10-08
