map_name,track_id,cnt_match,percent_retire,AVG_record
마비노기 이멘 마하,ded1999af976c902867eeb1de59a1d0aceed86795bbe7cb6e5d996ec8d1f98d6,187,39.9194,110658.2175
포레스트 지그재그,10da0052333ba15d203a7fd614a2fd0c3103e5e1245ac83f152fbf87313be1d9,184,30.796,164492.4711
빌리지 붐힐터널,3825dc7e5a7133b57445e1d0577de668d26d01815f41cabcbf6f9fab3d4a0de7,173,22.4219,103797.4415
사막 놀라운 공룡 유적지,9dceaf636e51daf6ace6d8e5a5be4df7bf78b9745af14a29a6763675a604406e,166,23.9368,119216.7514
해적 숨겨진 보물,0f19e10245930b0a3a07da92eb975e0525f975f40e357d8236d9cfcd056991b1,160,55.3579,164645.7444
문힐시티 숨겨진 지하터널,1233ae640c1c77c42582dbd4d0e6c89f608c7d4e4ec420989b2e0c2d735d9b2e,160,35.8025,162596.703
사막 빙글빙글 공사장,44cddc0e408d2c9e53458e300bfaca38b9c88c9fc835525c6a49cb9397fe0af7,159,13.7081,164596.3138
코리아 부산의 밤,4d762656729c3a123d5bd178537ca274f36edf5ccfbd4ab9e3a9afa8bcd7ad68,158,36.0531,148992.1875
아이스 펭귄타운,c9ad9e3fc464391babb8493a89e719418d677642e91d258a77b87d6431273d85,151,7.8534,93200.17347
아이스 설산 다운힐,cc9fdad4e72423f485046ee5e6ef4fa243965d06d83b97581984b6067ccff0d9,149,29.2339,172908.4262
팩토리 모험의 시작,49832328c9467bb0eb62641a12b5f778d66d75c8ff8005b0ebefeb50a291aa44,148,12.6394,94791.04
포레스트 대관령,39d88d8f40d5f3c2977eeeb4a33b15905bb8a8180351408fb33c1f82dde695d8,145,25.0332,101386.5734
메이플 꿈의 도시 레헬른,de4a1317d1e2ae4e0008016fb90c08c10f7914eda560ff90e94ce1d938ad4dd7,145,13.11,117636.2652
아이스 갈라진 빙산,671040f92534670fbf0cb2f6b739c0c22af66b8255f1a3b7f5003ccac9a3d467,141,34.3066,137349.4024
메이플 헤네시스 오솔길,ab811beafbd17e6ca2c3f9333517b3060a3b6fe54a1a16e77f8eb8a359dac281,138,30.8353,109867.2441
빌리지 익스트림 경기장,ec21e73ee437dcba5b4474bc001b93c1bd66bc2dadb2f754922b2e2bd289419b,134,29.669,126666.0305
동화 잠자는 숲속의 거인,3412059e9c31e8b1ee8f0d4b896baaa9ce5a1d45be13c4e47ba3e52b20c0c638,131,28.3181,119414.9968
님프 바다 신전의 비밀,7ee426a93b93837007dc241a3d3d5a8c279f4e1ac1511953702dfe5aabb32cde,125,18.3004,164642.974
포레스트 오싹한 공중다리,04f92b232ca4800a63cc076321c9c163aba6490bd83e8192c548cd6ab6edd532,124,37.8284,151652.3302
해적 짜릿한 고공비행,ee0d47aab27e5c1c6ac3ecce266f5898a7e41c120cd29acf06f83dd2af62c78c,124,2.6455,100880.4733
아이스 아찔한 헬기 점프,4975c9d0fbe19990ac1bc7fb0c9ce63193b0fb2d023692e939fa8e6b2ee74bd0,120,37.5,161287.0149
도검 야외 수련관,200cdd72f4401f11540100b0aaad58ed389120f86b86d07b848afc5ee7d6ab81,118,19.4494,107269.8442
공동묘지 마왕의 초대,1372d79bdeb7f042bf0c18c7d14c4bd46c2a3836e708ab5e03785d092edf1d66,116,20.6533,150073.9911
,17b524aaf68170df0645c6f9928cfbe2bd7f532b384d99f59e47b2c7c1badb9e,115,21.6895,102473.9423
광산 위험한 제련소,af2c1e78a4922e6e83f09ff1b3e9cf78e9da87d5b3b7dec1c1324959a782d278,114,32.2259,175218.1217
동화 프레티온 목마,28d4edadb51367fb04a33d2cccda0b88453c61062c1c0e3c7ef7d4ba347edbaa,113,5.4393,86439.93478
네모 강철바위 용광로,f3bfb9a442c5f7c5186434623b62cf5f9817477bcfa752fa62afa063e137aa51,111,22.7273,130581.9817
빌리지 지우펀,e7de2392c3e6453dd8b9ef948f996b9002ee8062815e7ddc9f36a9b101a2d8a9,110,22.4453,97208.93617
노르테유 전투비행장,2130869de49fca50ee7e7aa877ef9e2e815bd9e071dca0d63afaa5c2c2493082,109,24.0741,123795.0444
카멜롯 펜드래건 캐슬,f22f8ac7e58af894e47c2bef43860e41662216dfe8e9dcb2ffbb8263364eacc6,107,24.5098,141294.2377
팩토리 미완성 5구역,799dd082c3022634391f8775089c0a25fc4df61e539772958b8a8416e0d77e6a,101,23.2227,114521.1752
신화 빛의 길,7c487cbcaf6946eb555d4567e4283a16c9020dba116519bf7fac5f160d9d2123,100,20.9906,121245.1241
어비스 스카이라인,bced4f65cf36c22df94c6e26436e37f22b1cf42b5878e2b1edbcdc08df348e6f,100,28.1297,112953.0685
메카닉 숨겨진 탈출로,c6f041085945e13c1d629217bd5949bd05a29c34a16eb0b304d48e9f91b09b13,100,23.5135,106529.0153
[reverse] 빌리지 시계탑,ff6e6029669a69a0a8303ad7e07c353fc2b87fdba45ac4ee1af6461b310698e7,98,61.9589,165097.9286
황금문명 비밀장치의 위협,81adceb8c0a07688ef8e689b8c94ad7d9c6181ff4bcd951d710d60543c025a2d,97,44.9052,149571.3138
광산 3개의 지름길,ef4f4e6dc055d1e1a32804a7a0f1e0e659151111dd65420957d5e927d4627bba,95,45.5434,134245.8663
해적 가파른 감시탑,1bc4cb7c6999b3f6fc577f558af85a1fc07069acc9deb8f176a851b18efd9dcf,93,37.5583,133599.1282
아이스 부서진 빙산,a1afcfd265c44554a07cb568760c0f8b8b5bacce0f3d36e438f49f86180a42ef,93,31.665,167903.9826
쥐라기 아슬아슬 화산 점프,0c18b2adc1fca7a4b6919dbd813fa8584c7e6d51de92712fdf454a3e3626fcd5,91,14.8148,97581.42
동화 마녀의 성,2d8034b4b3f6e9cc6e651c8355367a911274b312b0f7ad0626b0eb0333051b53,90,18.1347,154011.6242
신화 차원의 관문,2fd45f66e1c8df78c260aeffab51e3d9ba41bbd4a3952a37ccf3c0208ecaedb8,88,8.8323,139600.0179
포레스트 아찔한 다운힐,f38a823f538978875a9e74d618592b61981cebd1bcb20bd3085900b41de3c3e3,88,24.5856,159438.3571
빌리지 만리장성,1d6c828cb522592eb4731b04a70888937f555034186810bdcd96e7b333095101,87,22.2335,140865.4078
[R] 차이나 골목길 대질주,e82af6560cc3d9bcee89b0a17a335914175c67fb51e666dcbbb501aec2aec030,87,44.7384,168234.2324
붐힐 드라이브,9d9cc7c84d9542f6a3e4dc6229decfe93fde3e76e8abf7941878446b59582658,86,39.7069,274771.4396
차이나 용의 운하,190b0af7c6b957dd9673e528124fa2c40d903250a1896d5f0e42ed79f0c81e4c,80,19.0011,151220.962
대저택 럭셔리 거대욕조,9ec3105e4802b2b042ae7745d39724d28a06af9b0a58917a3445a94c28589f4a,80,35.2166,96550.26415
메카닉 적의 포화속으로,0904b83a74166546ad4e201110d93e7bd60ef227919e9e1378c42e8045175625,79,7.7778,90181.96875
공동묘지 유령습격,061107e201d7f70cc265136cc1e6f7215f787185e53f0fae4e5481b6e9040349,75,3.6649,83720.15625
황금문명 고디우스의 분노,a8d8c2f9db173be8396add9e7d047f96b4d6d4f17be4248ccc0e1dc6e3440bcb,74,1.0274,79515.04202
쥐라기 공룡섬 대모험,ee4e6c6e887007b24a7da342a193c349340be1d324a90a474537302982c1a72d,73,48.5628,147814.2523
포레스트 통나무,5b6c40e7cfb59dbf50476b17f26de58a18a4be58f7b07ba4b353eb7b6c0fdc2e,71,31.2701,115517.9448
코리아 인천 센트럴파크,4a62fc54c04d5a897107f741d71792d14ba8968ed49951c1390a4f8486ac92d4,67,11.0687,120242.1089
코리아 전주 한옥마을,0a2bcd781bffefe9fd176f3683c7dff645a9d179e4085fc47c137f439dbcd7c4,63,14.8036,129072.5094
노르테유 행성 저 멀리,0d16ec038b9a8f6cc691b2dbc75ea13cb92e1e3dd6562a1765398929d8f8d059,63,36.8421,84835.97222
