trackId,matchId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,teamId
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,587992119,Svaner루트,956d93379abbae5238a67445eb832e50dd4d6dc63115af83752c5738b69f9323,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,,9253edc8bcbfa28a5427852ff2b746ca8ed214374118f5b815fafc098928fa66,,,,,4,2,0,1,86267,2
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,369791375,Witz주혁,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,f84b6fdf1a1e377b0be61a809fbdce8f6dac12ba087e78125f72334634b10a7e,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,7,0,1,91897,2
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,1896627116,PJS대한민국,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,0b41bf8620b5851d7dcc7eb33765d506e530b8d2e612e6c60823f2b890da3401,,,7f9ba8cab61b5bfeaeb76e90a6f59b459289143c430cab9c4ddd39613dbc3703,0,0,0,0,0,99,1,0,,1
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,1510182771,FlyingGohan,9ac2f497a2a1484079b1bd3772b2a5557da654d7479d09a7d19023c3421c65f6,801afcbb0fab8de858a77bfb4089b43d11b9d7b8dc16fb3510c15109518c16c9,,eae227dfd9a7c4487d4ec9d1110b4527ae9aeec5c612ed5526bf7301e6ac63ec,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,6,0,0,89949,1
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,336072941,퍼듀망,5b09208aa51efd9913007e87d5ae982f5f4374befb0d1201d61744edd1c4e88e,f55a0aaf315a03115b23206b15256733b4c9f175dc08040c5bcd8b3aaa8058c1,,eae227dfd9a7c4487d4ec9d1110b4527ae9aeec5c612ed5526bf7301e6ac63ec,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,4,0,0,88406,1
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,036f00130abb18e5,520284424,lMRCl유아,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,eb333073a3486846660dc9e82e6b0c55c508c31853e4f4151d36f4b7fe17fe33,,,13e247466d75204e1b3d587abcc11def087f6ffcdfcf798cb2c4b8edcddd8f5b,,,,,3,3,0,0,86339,1
973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,029600130abb0703,1594402731,일산머털이,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,a0f8e8f6331f473014d21e5b8596cc179db98102fe92dbe44e443a543c72fd27,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,e1fb0463c8aea8aa78fe4f3e06f9a68d62bb19aa7c3c64da215ceb33b0dd24fb,0,0,0,0,0,99,1,0,,2
973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,029600130abb0703,134727267,일산머털도사,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,f69c4abf9ae9fe3818287b017b06c93a19933cbf0e6e8d657f306bd6eee46c30,5dfce235da352c433ddf129d0d626af2c23010744efaeb4129b32e81ae1f8460,,,,,0,1,0,1,48229,1
81f8d8e53e86cc06c0bdb3e5c1f4ef7aa31650c3a9a011631471edc377254fd7,002100070acc3525,839478068,앙룰루kk,099c0842035d4f9380fecd6df971d78cf07c05dbd459c6e4304c1177d8a23b79,18bc562d2abb76f1a7692912a02a582ecd75b657fadd84d1c97d03046220b9a7,,cf57c57aeeb0988eca4350a173354683ff092d0be3b346ac07c185fdd0b9c4e0,c8f4efe77a8d14a5183050926ae0a7aaf6cabe6a1918716cbaf96763095197df,0,0,0,0,1,6,0,0,127444,2
81f8d8e53e86cc06c0bdb3e5c1f4ef7aa31650c3a9a011631471edc377254fd7,002100070acc3525,235184394,백호우두머리,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,d47aa62de79d88ecee263e07456555d99ff8957f1760d0f248667913acbc2b67,,,133f42f75b2b64f7d73f4a6a5a92561a5d9a917c964eebd430183b5f7c436dbd,0,0,0,0,3,1,0,1,123151,1
7c487cbcaf6946eb555d4567e4283a16c9020dba116519bf7fac5f160d9d2123,036500130abac017,1644739400,비INGO,029704940d22ae90b08ab5ff92beca5a6a2e7c3bd481acee1979767ebd023396,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,75c02c7338f833468b7c120d8a680d921ffdca38c7cc8bf8deefc21cbebf645b,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,,,,,4,99,1,1,,2
7c487cbcaf6946eb555d4567e4283a16c9020dba116519bf7fac5f160d9d2123,036500130abac017,269245076,미모사카다멈,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,1f17ea594f55314c9764df7d8a65eb159e78e72a16cb631ea463b09b297f94a6,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,bc0cb26aec42bbf33f3bba47e9eb930d890df475161666aad43151284c56217a,,,,,1,99,1,0,,1
9e7607980870bee91d7353f86d449f988480428b7e8b10d7be4d5be2e54bbee6,035400110abcd105,1158331271,Ptk스티브좡,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,f6799591217651d8f449a7877f70d21bcd344687575ef44f3ca3230aa40e8ba3,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,2,0,0,160353,2
9e7607980870bee91d7353f86d449f988480428b7e8b10d7be4d5be2e54bbee6,035400110abcd105,1073782743,꿀문뚜,03e6c20439f6cdee8470f26b0d5aff7406f6f7e0307f1fb491d6ce519504a135,1d640a764bbe8b8774f50d6d9a49a081684e6b94bff92936633132de09949a31,,f69c4abf9ae9fe3818287b017b06c93a19933cbf0e6e8d657f306bd6eee46c30,bc0cb26aec42bbf33f3bba47e9eb930d890df475161666aad43151284c56217a,0,2,3,0,4,1,0,1,156668,1
35bcf80c3a600ddfb38108b3973a2e1a9da2ecec0b55356b306b0902bda051ce,040a00110abccdc9,2081069513,zeRaya,7b3bc9103e498f05a9ebc785def98e35d0b166f0abe1a16d5083024435fc53dd,07c7e8427a32892762d2420cfccc336230d35c26317b052603fb922d293041c2,,87d9b446e122b6601b4a36590360c1f7b4dc263aaa2152c9ef75177373eaa409,,,,,,4,99,1,1,,2
35bcf80c3a600ddfb38108b3973a2e1a9da2ecec0b55356b306b0902bda051ce,040a00110abccdc9,403350976,PeonyNeaL,99581348c3943b86c1d27460b92aa243a0c37cc5fd2a7163227ddbb6895c915d,1dce21931147471608aa7cb45f252aeea69608fab139d01d67dfdaa6263e7799,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,2,2,2,2,4,99,1,0,,1
0b809bd33246fac5d3b39ba8d2e274999647174e43ec4645865d4dc349b08290,02e600130abaa451,419577939,dwedwqdada,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,5,1,0,1,143561,2
0b809bd33246fac5d3b39ba8d2e274999647174e43ec4645865d4dc349b08290,02e600130abaa451,705252517,쭈쟝,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,0000cd7b578ef4817ccf9655e16291eacb7ca9b6a1f6ede97adddd58e3d10c9c,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,1,1,2,0,4,2,0,0,143728,1
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,1795451914,원래잘하는데,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,f7724634e3a539e6f45cbfa30eb90074081fcb2abddeff6f035d06191d784931,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,0,0,,,2
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,2047485535,헌터울프1,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,c75c77ad6eb49f84dbbd8b60c9ca1d46c9480ac2eee421c600035b276e8ea7a9,,d4ec02c4c5b1fd7923a2c14eb2d13e0e653db7993268b8334e16312a4566fa1c,06bb458da7b6e7ab11246d621953627bbaba5945468597013a43189fb919db0e,0,0,0,0,1,99,1,0,,2
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,1275156985,완전초본데요,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,f55a0aaf315a03115b23206b15256733b4c9f175dc08040c5bcd8b3aaa8058c1,,87d9b446e122b6601b4a36590360c1f7b4dc263aaa2152c9ef75177373eaa409,133f42f75b2b64f7d73f4a6a5a92561a5d9a917c964eebd430183b5f7c436dbd,,,,,1,5,0,0,72594,2
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,184661159,차트갤,ff9500e97de303feb631169db317e67614d528dccad7a2103665a840ad4ea23e,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,c2593beb7fab49d1b08b70d3da563e3d1eb3f3e7f347d6b2633567c92527bfcc,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,3,0,0,71289,2
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,84094178,자미새,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,c8d29082c25ca4e06c568d592ec77eb5b4b9403cef96eddf21a7cdb8500ccf84,,,e1fb0463c8aea8aa78fe4f3e06f9a68d62bb19aa7c3c64da215ceb33b0dd24fb,,,,,5,1,0,1,69418,1
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,1392978722,UBatS민혁,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,d47aa62de79d88ecee263e07456555d99ff8957f1760d0f248667913acbc2b67,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,2,1,2,1,4,4,0,1,71986,1
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,520185177,jijljijljljl,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,d47aa62de79d88ecee263e07456555d99ff8957f1760d0f248667913acbc2b67,,,8cc64a4759f245b29ecb30043ae6eb9f9cd63ece7fd9f474cbdeecd330618032,1,1,1,1,4,2,0,1,70389,1
f305dba02fd8c89ceac74a2cf0e09ad55f49bfba7cd242cd751b791ebdb6a578,025600110abcbcd1,2047629772,꼴뚜기인사람,3bcd5684051f094eefe443207254661620cdf484a69b334808442b47a8df98a5,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,bc04969d9c97b4923330ee9917abe82d0528352b116e531f70e4100a37ab5c2d,bc0cb26aec42bbf33f3bba47e9eb930d890df475161666aad43151284c56217a,,,,,3,6,0,1,76033,1
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,02d200130aba693c,2114372275,천송근,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,eb333073a3486846660dc9e82e6b0c55c508c31853e4f4151d36f4b7fe17fe33,,,13e247466d75204e1b3d587abcc11def087f6ffcdfcf798cb2c4b8edcddd8f5b,,,,,4,3,0,0,63838,2
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,02d200130aba693c,1493217701,리우탁,e69867b76a1537d6a7418ae087aad4925a7e67c74fb9df2fc98525b8dfc3a7ae,f57e9600b5209841ba95a8c5525bd8eac3e405eaad97108b61dc3bfeb837aa3a,,,d2fa89a4641428a68b8ffefecf89469969cbdcf9cdb6057f8b1d112c826de0b7,1,2,2,1,2,2,0,0,63766,2
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,02d200130aba693c,1996752098,igoyougo,3bcd5684051f094eefe443207254661620cdf484a69b334808442b47a8df98a5,e185ecbf9ee2fe4c9fc8420cf85d14f4607063b3056bf7a67787d4dd027c14e8,,,133f42f75b2b64f7d73f4a6a5a92561a5d9a917c964eebd430183b5f7c436dbd,,,,,4,4,0,1,64311,1
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,02d200130aba693c,788809759,이일을우야꼬,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,,51d5c4104b2874df4c0348ac929b35a709e853643c3148a5cf967901fd092c89,,,,,3,1,0,1,63678,1
