trackId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,matchId
21581b3c79c6dc8cff34d169593115a642c3f5c066f57d8db2a6b1b89ecaefab,168662494,타츠야c,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,1,1,22,2,2,1,0,1,112096,024f00010aee501a
21581b3c79c6dc8cff34d169593115a642c3f5c066f57d8db2a6b1b89ecaefab,570607004,시즈쿠ll,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,1,1,23,2,2,99,1,1,,024f00010aee501a
47b79bc1e96c3bbd71713218c4b4ff374c91b922e1c59b2edc14651209ad2929,1426694368,빵찌꾹,65f565a5f575b7507f9bede84490c6caa6aceb10bb7502fa1f109d6104948fe6,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,cb6edcb6804388c5a1862b10e8adab5bc2779a9b19c58cbd0f862addad21901c,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,23,1,2,5,2,3,0,1,98307,025f00010aee20fb
47b79bc1e96c3bbd71713218c4b4ff374c91b922e1c59b2edc14651209ad2929,1946275157,sjw9979,eaf50a8e18f39a9943254098efdb924aac108eb698a34e9a968bc7bebe383a53,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,73da5e8f7b9be8f96000573a6a9506643bdadfdad029fce1e0d030de52abc4ab,0ba76db19374fe129bea077d5f72b9db5e5763afef4432a4249d4288cf42ab43,3,3,22,3,2,2,0,1,95615,025f00010aee20fb
47b79bc1e96c3bbd71713218c4b4ff374c91b922e1c59b2edc14651209ad2929,1611413610,트위치핑리엇,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,1dce21931147471608aa7cb45f252aeea69608fab139d01d67dfdaa6263e7799,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,ffb9b61e71641f8450a7cbf43804740439c2de2e612ce1d75d049ced79a6e24e,0,0,0,0,3,99,1,1,,025f00010aee20fb
47b79bc1e96c3bbd71713218c4b4ff374c91b922e1c59b2edc14651209ad2929,1057619030,cheapskate,a772caaa0c4a7457a353845d5e473a9a27dc0703da74443833c9439c811010bf,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,f9aa8d1ded02052022ade81dec3cb215ab31388d72b15dcce209f065f6b268e9,2,3,3,3,2,1,0,1,91098,025f00010aee20fb
a83aa53e5f36f12cdfbaf4cf7cc64f40b65b8679dfc90c6b40f9c78fa506fac1,1308835743,눈꽃러너c,90e089c7b450e57c6bcbc63735b51694dbfe8f86a63ef021da02e950bd75ddbe,1ab581ed45be8cfa723a89f5e182f00f6dd5ac7dd4eac967f96a1b1682a22e3b,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,bec48ce3b7188bb5b38f4876eb762a2a4ac09c5f7baea3eb6dc511117a63ea83,2,1,22,2,4,99,1,1,,036200010aedfa2a
a83aa53e5f36f12cdfbaf4cf7cc64f40b65b8679dfc90c6b40f9c78fa506fac1,1175034749,우미콩,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,4910285b6f3d165f13a41d7f7b4f1c38dc68f7da253c0388f1433346c54d60f8,,2d4ab5ea02c1bdf313bacd4e68b75a5d5100c2275165c70ccb4e028244305fca,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,22,1,23,2,4,99,1,1,,036200010aedfa2a
a83aa53e5f36f12cdfbaf4cf7cc64f40b65b8679dfc90c6b40f9c78fa506fac1,101228920,거리xx,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,1ab581ed45be8cfa723a89f5e182f00f6dd5ac7dd4eac967f96a1b1682a22e3b,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,22,1,22,3,4,99,1,1,,036200010aedfa2a
a83aa53e5f36f12cdfbaf4cf7cc64f40b65b8679dfc90c6b40f9c78fa506fac1,117740155,눈꽃천사c,95de437771bb1e094b4f3ef1c1a81574093a01e8d3be037c5a9fe0834dfbffa0,1f17ea594f55314c9764df7d8a65eb159e78e72a16cb631ea463b09b297f94a6,,2d4ab5ea02c1bdf313bacd4e68b75a5d5100c2275165c70ccb4e028244305fca,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,,,,,4,1,0,1,99037,036200010aedfa2a
